release_time,pre_power_mean_kw,post_power_mean_kw,power_jump_ratio,post_exceeds_pre_by_10pct,pre_wind_mean_ms,pre_power_ref_mean_kw,pre_curtail_fraction,post_curtail_fraction
2025-09-05 03:14:00,462.4,481.3,1.04,False,9.28,612.1,1.0,0.0
2025-09-05 13:39:00,177.7,298.6,1.68,True,6.18,456.5,1.0,0.0
2025-09-06 00:10:00,144.0,145.8,1.01,False,6.04,321.7,1.0,0.0
2025-09-06 08:25:00,515.0,393.9,0.76,False,8.83,816.7,1.0,0.0
2025-09-07 15:46:00,682.7,699.4,1.02,False,10.65,816.5,1.0,0.0
2025-09-08 04:22:00,177.7,215.3,1.21,True,6.7,358.9,1.0,0.0
2025-09-08 05:55:00,124.1,144.2,1.16,True,6.57,288.1,1.0,0.0
2025-09-08 13:19:00,506.5,569.4,1.12,True,9.21,710.6,1.0,0.0
2025-09-09 04:26:00,237.6,247.9,1.04,False,6.79,600.4,1.0,0.0
2025-09-09 13:44:00,471.2,465.6,0.99,False,8.78,790.2,1.0,0.0
2025-09-09 15:31:00,282.0,381.0,1.35,True,8.41,376.7,1.0,0.0
2025-09-10 05:21:00,373.4,555.4,1.49,True,7.8,658.6,1.0,0.0
2025-09-10 14:11:00,269.2,360.9,1.34,True,8.25,370.1,1.0,0.0
2025-09-11 15:48:00,753.3,812.6,1.08,False,10.65,839.6,1.0,0.0
2025-09-12 16:20:00,449.5,807.1,1.8,True,8.79,655.7,1.0,0.0
2025-09-13 16:14:00,240.6,675.7,2.81,True,6.98,517.4,1.0,0.0
2025-09-14 16:44:00,203.6,127.5,0.63,False,6.36,711.0,1.0,0.0
2025-09-17 05:58:00,374.4,357.4,0.95,False,7.86,767.2,1.0,0.0
2025-09-18 06:34:00,907.7,1117.8,1.23,True,11.93,965.6,1.0,0.0
2025-09-18 07:34:00,885.7,421.4,0.48,False,10.92,1236.8,1.0,0.0
2025-09-18 20:35:00,562.4,766.5,1.36,True,11.17,631.4,1.0,0.0
2025-09-24 14:59:00,449.5,413.4,0.92,False,8.42,715.2,1.0,0.0
2025-09-25 11:30:00,563.5,348.9,0.62,False,9.39,873.7,1.0,0.0
2025-09-25 17:31:00,263.9,356.3,1.35,True,6.85,552.6,1.0,0.0
2025-09-26 00:01:00,172.8,266.3,1.54,True,6.89,223.1,1.0,0.0
2025-10-02 18:55:00,898.8,719.3,0.8,False,11.41,980.0,1.0,0.0
2025-10-03 04:34:00,313.1,517.8,1.65,True,8.46,472.7,1.0,0.0
2025-10-03 07:48:00,430.6,605.8,1.41,True,8.34,697.0,1.0,0.0
2025-10-03 17:39:00,573.5,1329.9,2.32,True,20.63,23.0,1.0,0.0
2025-10-03 19:06:00,989.6,1332.6,1.35,True,19.79,57.4,1.0,0.0
2025-10-04 07:44:00,756.8,583.3,0.77,False,10.0,1033.6,1.0,0.0
2025-10-05 17:04:00,1009.5,979.7,0.97,False,11.4,1220.5,1.0,0.0
2025-10-06 06:05:00,829.7,836.4,1.01,False,10.64,1098.9,1.0,0.0
2025-10-07 02:03:00,1006.3,1095.5,1.09,False,13.46,1012.3,1.0,0.1
2025-10-07 05:10:00,810.4,1320.8,1.63,True,11.99,749.2,1.0,0.0
