n_bins,scenario,model,n_seeds,wis_mean,wis_sd,crps_mean,crps_sd,median_bias
53,S1_fixed_50pct,B4,3,0.1703517387310663,0.0011500389590099,0.1787805509641994,0.0004427790860627,-0.147523154815038
53,S1_fixed_50pct,B6,3,0.0752455244461695,0.0009818800415567,0.0863180361828846,0.0010861508831829,-0.0070548413010934
53,S1_fixed_50pct,ORACLE,3,0.07505680869023,0.0003461351934073,0.0860573538531422,0.0003542396678889,-0.0035353898225973
53,S2_fixed_70pct,B4,3,0.1194296032190322,0.0064365531724626,0.1277458800780586,0.0036077919479977,-0.0755759725968043
53,S2_fixed_70pct,B6,3,0.0749436939756075,0.0003048289948225,0.0859558482630311,0.0004326524317684,-0.0111044292959074
53,S2_fixed_70pct,ORACLE,3,0.0751006056865056,0.0005679204047045,0.0861019933486445,0.0005983144546074,-0.0062344420390824
53,S3_fixed_85pct,B4,3,0.0884763697783152,0.0009310617919927,0.0985755077845629,0.0001671491709793,-0.0321935899555683
53,S3_fixed_85pct,B6,3,0.0759385451674461,0.000929604849699,0.0870961885045853,0.00107937564587,-0.0166248212723682
53,S3_fixed_85pct,ORACLE,3,0.0752478465437889,0.0005210438367922,0.0862480966359667,0.0005569813364706,-0.0119046696151296
53,S4_random_uniform,B4,3,0.1220039203763008,0.0078521135184856,0.1380665814502679,0.0081229674360184,-0.1284147873520851
53,S4_random_uniform,B6,3,0.0755603909492492,0.0005675528761402,0.0866407453016431,0.0006341154098333,-0.0071307671023532
53,S4_random_uniform,ORACLE,3,0.0754016761978467,0.0008106618487708,0.0863941904140388,0.0009138256067786,-0.0083173559978604
53,S5_wind_triggered,B4,3,0.1460574766000112,0.0045576891338563,0.1606626890018904,0.0036943230088158,-0.1472436636686325
53,S5_wind_triggered,B6,3,0.1042498673001925,0.0036466397471005,0.1162348029953553,0.00341052039037,-0.0746050700545311
53,S5_wind_triggered,ORACLE,3,0.0748931765556335,0.0004068007232821,0.0858863721745568,0.0004413498584558,-0.0051251234641919
106,S1_fixed_50pct,B4,5,0.1715716212987899,0.0022080311668813,0.1791583471709947,0.0016952155387285,-0.1490077465772628
106,S1_fixed_50pct,B6,5,0.0755661055445671,0.0005674314813367,0.0867231841240609,0.0006992175461557,-0.0071147760143503
106,S1_fixed_50pct,ORACLE,5,0.0750114411115646,0.0003991764242389,0.0860319388809125,0.0004645335622902,-0.0090137881226837
106,S2_fixed_70pct,B4,5,0.1143229693174362,0.005926452786781,0.1243633778444732,0.003023152967044,-0.071619513630867
106,S2_fixed_70pct,B6,5,0.0745637536048889,0.0002169863740642,0.0855335053561755,0.0002380579515304,-0.0045112688094377
106,S2_fixed_70pct,ORACLE,5,0.075406265258789,0.0008022676003259,0.0864854803170747,0.0009258758368369,-0.0166638591326773
106,S3_fixed_85pct,B4,5,0.0901814341545104,0.00178098309193,0.0999963492546381,0.0007964361627256,-0.0364544212818145
106,S3_fixed_85pct,B6,5,0.0747428610920906,0.0004683642979267,0.0857904583101515,0.0005358167869838,-0.005248216446489
106,S3_fixed_85pct,ORACLE,5,0.0748607471585273,0.0003665941252919,0.0858743460900616,0.0004161983125856,-0.008928523119539
106,S4_random_uniform,B4,5,0.1189262047410011,0.007262814193643,0.1349006590099247,0.0065249830167582,-0.1248501107096672
106,S4_random_uniform,B6,5,0.0753147408366203,0.000391542307977,0.0863730912713305,0.000467176385046,0.0016340655274689
106,S4_random_uniform,ORACLE,5,0.0749557897448539,0.0002749040885097,0.0859568462795122,0.0003060328000178,-0.0037063909112475
106,S5_wind_triggered,B4,5,0.1482781618833542,0.004340556219238,0.1621046247658361,0.0034488541642541,-0.1493699580430984
106,S5_wind_triggered,B6,5,0.1052470400929451,0.0009240757574793,0.1171378705032774,0.0010740959364234,-0.0779775097966194
106,S5_wind_triggered,ORACLE,5,0.0751515194773674,0.0003939826908259,0.0861928306448842,0.0004458509157327,-0.0088245116174221
212,S1_fixed_50pct,B4,3,0.1645556688308715,0.0098543587134954,0.1743771540123687,0.0056209081579792,-0.1437320907910665
212,S1_fixed_50pct,B6,3,0.075648342569669,0.000394103480564,0.0867236930814045,0.0004022131248815,-0.0047555744337538
212,S1_fixed_50pct,ORACLE,3,0.0750814775625864,0.0003450980761738,0.0861246998591131,0.000403923312636,-0.00572160910815
212,S2_fixed_70pct,B4,3,0.1222857485214869,0.0017883047310725,0.1283588195977414,0.0014334186227218,-0.0736753220359484
212,S2_fixed_70pct,B6,3,0.0745478769143422,0.0001741869299075,0.0855031020804826,0.0001933478496768,-0.0041135662080099
212,S2_fixed_70pct,ORACLE,3,0.0744957377513249,0.0004132040122974,0.0854333248315171,0.000481334333598,-0.004749863098065
212,S3_fixed_85pct,B4,3,0.0909297317266464,0.0023530711097696,0.1005632066889556,0.0011802142795156,-0.0392272807657718
212,S3_fixed_85pct,B6,3,0.0748088881373405,0.0004965772391303,0.0858357151108927,0.0005657265569893,-0.0059601361087212
212,S3_fixed_85pct,ORACLE,3,0.0749066993594169,0.0006014058206986,0.0859214522741197,0.0006605127791392,-0.0064298004532853
212,S4_random_uniform,B4,3,0.1207767277956008,0.0053452239641278,0.140244082538397,0.0068896088244054,-0.1496312767267227
212,S4_random_uniform,B6,3,0.0759087577462196,0.0002385219150032,0.086889867034744,0.0003204392009567,-0.0070108317692453
212,S4_random_uniform,ORACLE,3,0.0750555122892061,0.0003800423454591,0.0861211369450412,0.0004836397853071,-0.0022893378773005
212,S5_wind_triggered,B4,3,0.1478148947159449,0.0033610313216891,0.1615308187142747,0.0026149745029397,-0.1500824441512425
212,S5_wind_triggered,B6,3,0.1052465463678042,0.0019586540836141,0.1170091976600355,0.0020700141541155,-0.0783570036292076
