run,contamination_mode,intensity_factor,inference_role,family,scenario,reference,challenger,window_type,n_windows,n_clusters,difference_reference_minus_challenger,ci_low,ci_high,sign_flip_p_two_sided,advantage_retained
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,all,9922,20,-0.004225467146978819,-0.0063371177900949285,-0.0013980879270388098,0.012919870801291988,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,censored,4134,19,-0.011143838583361529,-0.014316242869267621,-0.005934622394974451,0.0009599904000959991,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,clean,5788,20,0.0007158852230982582,-0.000411239010800866,0.0017367225598649862,0.24396756032439676,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,all,9922,20,-0.00021990069005470544,-0.0010265689371171931,0.0004774635447618452,0.5739142608573914,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,censored,4134,19,-0.001966763754254978,-0.003978270109992523,-0.0005560763124499312,0.01864981350186498,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,clean,5788,20,0.0010277724107407204,0.00018490357845508417,0.0018044529007822043,0.03556964430355696,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,B6,all,9922,20,0.09600551913315823,0.04958067738866134,0.12951785730970716,0.00011999880001199988,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,B6,censored,4134,19,0.21786065074503888,0.14587447587554508,0.2563611627793661,1.999980000199998e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,B6,clean,5788,20,0.00897215457138996,0.0001304575589382224,0.017671254399745803,0.1036689633103669,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,B6,all,9922,20,0.09486558027397463,0.04905764567272944,0.1278248838347849,0.00012999870001299986,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,B6,censored,4134,19,0.21645878172460645,0.14625078891291832,0.25404323620352204,1.999980000199998e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,B6,clean,5788,20,0.00801929575481221,-0.0007409345264604634,0.016618043029878814,0.14753852461475386,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,BT,all,9922,20,0.09283108925944819,0.04935554870838072,0.12451190711684904,0.00012999870001299986,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,BT,censored,4134,19,0.210426831296359,0.14508380109224353,0.24705022303941016,9.99990000099999e-06,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,BT,clean,5788,20,0.008839935565497031,0.0009416395806738256,0.01604857724199103,0.05981940180598194,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,BT,all,9922,20,0.09048777906770611,0.04875534323753838,0.1207793482598988,9.99990000099999e-05,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,BT,censored,4134,19,0.20425435524113048,0.14127266562419333,0.23951505497892597,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B4,BT,clean,5788,20,0.009231554827737829,0.0020736188043782,0.015567711367382882,0.02978970210297897,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,all,9922,20,0.013736635263484724,0.009475252385980473,0.017399913597098297,0.0004999950000499995,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,censored,4134,19,0.039247399504960166,0.03342004540375147,0.04943244872411994,9.99990000099999e-06,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,clean,5788,20,-0.004484079901383882,-0.0069865141457198365,-0.002312946039996427,0.0016899831001689982,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,all,9922,20,0.013782902691966477,0.009268139202146784,0.017583085538116237,0.0006299937000629993,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,censored,4134,19,0.0403848357239119,0.034529169963535666,0.05040184216042606,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,clean,5788,20,-0.0052171648882101615,-0.007904405872944385,-0.0028800764152116087,0.0012299877001229987,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S1_fixed_50pct,BT,B6,all,9922,20,0.0031744298737100404,0.0004483999995275703,0.0054430896762914125,0.06111938880611194,True
