fold,held_out,scenario,model,seed,n_test_windows,test_censored_share,wis_mean,wis_median,fit_seconds,utc
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B0_persistence,fixed,18113,0.1190857365727424,0.0582865980066462,0.0330376923084259,0.0,2026-08-04T14:21:19.368359+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B4,42,18113,0.1190857365727424,0.044105414301157,0.021807674318552,166.9,2026-08-04T14:24:06.936960+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B4,123,18113,0.1190857365727424,0.0432864688336849,0.0215053185820579,157.2,2026-08-04T14:26:44.644488+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B6,42,18113,0.1190857365727424,0.0332574024796485,0.0224948246031999,90.0,2026-08-04T14:28:14.915665+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B6,123,18113,0.1190857365727424,0.0330675840377807,0.022357178851962,78.5,2026-08-04T14:29:33.748876+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B0_persistence,fixed,18113,0.0910947918891906,0.0560129488302785,0.0321465283632278,0.0,2026-08-04T14:31:15.105391+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B4,42,18113,0.0910947918891906,0.0377720482647419,0.0208880640566349,72.7,2026-08-04T14:32:28.162320+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B4,123,18113,0.0910947918891906,0.0379681028425693,0.0207606982439756,72.6,2026-08-04T14:33:41.099086+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B6,42,18113,0.0910947918891906,0.0323629826307296,0.022019650787115,77.4,2026-08-04T14:34:58.800638+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B6,123,18113,0.0910947918891906,0.0321424752473831,0.0216466207057237,78.1,2026-08-04T14:36:17.220668+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B0_persistence,fixed,16181,0.0737902447581291,0.0506790755238913,0.0313268601894378,0.0,2026-08-04T14:37:42.895173+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B4,42,16181,0.0737902447581291,0.0353301726281642,0.0204875171184539,74.4,2026-08-04T14:38:57.645085+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B4,123,16181,0.0737902447581291,0.0353169627487659,0.020528869703412,78.9,2026-08-04T14:40:16.770276+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B6,42,16181,0.0737902447581291,0.0303424391895532,0.02148730866611,81.0,2026-08-04T14:41:38.011194+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B0_persistence,fixed,18113,0.11908573657274246,0.05828659800664623,0.0330376923084259,0.0,2026-08-05T03:28:11.783974+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B4,42,18113,0.11908573657274246,0.044105414301157,0.021807674318552017,105.2,2026-08-05T03:29:57.392968+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B4,123,18113,0.11908573657274246,0.04328646883368492,0.021505318582057953,102.4,2026-08-05T03:31:40.189781+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B6,42,18113,0.11908573657274246,0.03325740247964859,0.02249482460319996,108.7,2026-08-05T03:33:29.242505+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,B6,123,18113,0.11908573657274246,0.03306758403778076,0.02235717885196209,111.4,2026-08-05T03:35:20.989019+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,CLQR,42,18113,0.11908573657274246,0.035354871302843094,0.021538835018873215,60.2,2026-08-05T03:36:21.550997+00:00
loto_alta2,ALTA2_1301253,S1_fixed_50pct,CLQR,123,18113,0.11908573657274246,0.03561224415898323,0.022122710943222046,51.7,2026-08-05T03:37:13.531075+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B0_persistence,fixed,18113,0.09109479188919067,0.05601294883027856,0.032146528363227844,0.0,2026-08-05T03:37:15.237490+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B4,42,18113,0.09109479188919067,0.0377720482647419,0.020888064056634903,101.5,2026-08-05T03:38:57.070908+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B4,123,18113,0.09109479188919067,0.03796810284256935,0.02076069824397564,101.3,2026-08-05T03:40:38.787036+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B6,42,18113,0.09109479188919067,0.032362982630729675,0.022019650787115097,113.3,2026-08-05T03:42:32.491911+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,B6,123,18113,0.09109479188919067,0.03214247524738312,0.021646620705723763,97.4,2026-08-05T03:44:10.127862+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,CLQR,42,18113,0.09109479188919067,0.033902257680892944,0.021604247391223907,43.6,2026-08-05T03:44:54.024007+00:00
loto_alta2,ALTA2_1301253,S4_random_uniform,CLQR,123,18113,0.09109479188919067,0.03401564061641693,0.021163420751690865,45.9,2026-08-05T03:45:40.239298+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B0_persistence,fixed,16181,0.07379024475812912,0.05067907552389138,0.031326860189437866,0.0,2026-08-05T03:45:41.645225+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B4,42,16181,0.07379024475812912,0.03533017262816429,0.02048751711845398,76.3,2026-08-05T03:46:58.218720+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B4,123,16181,0.07379024475812912,0.035316962748765945,0.020528869703412056,73.3,2026-08-05T03:48:11.785124+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B6,42,16181,0.07379024475812912,0.03034243918955326,0.02148730866611004,76.5,2026-08-05T03:49:28.573320+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,B6,123,16181,0.07379024475812912,0.030259011313319206,0.020911207422614098,78.4,2026-08-05T03:50:47.272184+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,CLQR,42,16181,0.07379024475812912,0.03142090514302254,0.019731508567929268,51.2,2026-08-05T03:51:38.697148+00:00
loto_alta2,ALTA2_1301254,S1_fixed_50pct,CLQR,123,16181,0.07379024475812912,0.03150635212659836,0.019956614822149277,43.2,2026-08-05T03:52:22.116040+00:00
loto_alta2,ALTA2_1301254,S4_random_uniform,B0_persistence,fixed,16181,0.06000865250825882,0.05051426403051799,0.030954554677009583,0.0,2026-08-05T03:52:23.505041+00:00
loto_alta2,ALTA2_1301254,S4_random_uniform,B4,42,16181,0.06000865250825882,0.03315087780356407,0.02017209120094776,76.3,2026-08-05T03:53:40.041036+00:00
loto_alta2,ALTA2_1301254,S4_random_uniform,B4,123,16181,0.06000865250825882,0.03310655429959297,0.01990635134279728,75.1,2026-08-05T03:54:55.385625+00:00
loto_alta2,ALTA2_1301254,S4_random_uniform,B6,42,16181,0.06000865250825882,0.03026667609810829,0.0208897665143013,80.3,2026-08-05T03:56:15.928647+00:00
loto_alta2,ALTA2_1301254,S4_random_uniform,B6,123,16181,0.06000865250825882,0.030139189213514328,0.02074418216943741,83.1,2026-08-05T03:57:39.334649+00:00
loto_alta2,ALTA2_1301254,S4_random_uniform,CLQR,42,16181,0.06000865250825882,0.03132699057459831,0.020391833037137985,39.4,2026-08-05T03:58:18.982149+00:00
loto_alta2,ALTA2_1301254,S4_random_uniform,CLQR,123,16181,0.06000865250825882,0.0313924103975296,0.020161956548690796,46.2,2026-08-05T03:59:05.429331+00:00
loto_alta2,ALTA2_1301255,S1_fixed_50pct,B0_persistence,fixed,15533,0.0741003006696701,0.052121703600684716,0.03267678618431091,0.0,2026-08-05T03:59:06.849870+00:00
loto_alta2,ALTA2_1301255,S1_fixed_50pct,B4,42,15533,0.0741003006696701,0.036306459456682205,0.0207196194678545,77.4,2026-08-05T04:00:24.574383+00:00
loto_alta2,ALTA2_1301255,S1_fixed_50pct,B4,123,15533,0.0741003006696701,0.035935889929533005,0.02057250216603279,76.3,2026-08-05T04:01:41.178460+00:00
loto_alta2,ALTA2_1301255,S1_fixed_50pct,B6,42,15533,0.0741003006696701,0.0307308379560709,0.021175112575292587,83.4,2026-08-05T04:03:04.835456+00:00
loto_alta2,ALTA2_1301255,S1_fixed_50pct,B6,123,15533,0.0741003006696701,0.030763573944568634,0.0209132619202137,83.5,2026-08-05T04:04:28.595469+00:00
loto_alta2,ALTA2_1301255,S1_fixed_50pct,CLQR,42,15533,0.0741003006696701,0.032040730118751526,0.020752765238285065,53.3,2026-08-05T04:05:22.123454+00:00
loto_alta2,ALTA2_1301255,S1_fixed_50pct,CLQR,123,15533,0.0741003006696701,0.03225378319621086,0.020023813471198082,53.1,2026-08-05T04:06:15.492632+00:00
