dataset,bin_left_ms,bin_right_ms,n_records,n_free,free_support
S0_no_curtailment,0.0,1.0,0,0,
S0_no_curtailment,1.0,2.0,0,0,
S0_no_curtailment,2.0,3.0,0,0,
S0_no_curtailment,3.0,4.0,31,31,1.0
S0_no_curtailment,4.0,5.0,1926,1926,1.0
S0_no_curtailment,5.0,6.0,7672,7672,1.0
S0_no_curtailment,6.0,7.0,11788,11788,1.0
S0_no_curtailment,7.0,8.0,13050,13050,1.0
S0_no_curtailment,8.0,9.0,11794,11794,1.0
S0_no_curtailment,9.0,10.0,9552,9552,1.0
S0_no_curtailment,10.0,11.0,7459,7459,1.0
S0_no_curtailment,11.0,12.0,5447,5447,1.0
S0_no_curtailment,12.0,13.0,3145,3145,1.0
S0_no_curtailment,13.0,14.0,1984,1984,1.0
S0_no_curtailment,14.0,15.0,1186,1186,1.0
S0_no_curtailment,15.0,16.0,576,576,1.0
S0_no_curtailment,16.0,17.0,273,273,1.0
S0_no_curtailment,17.0,18.0,83,83,1.0
S0_no_curtailment,18.0,19.0,27,27,1.0
S0_no_curtailment,19.0,20.0,14,14,1.0
S0_no_curtailment,20.0,21.0,21,21,1.0
S0_no_curtailment,21.0,22.0,25,25,1.0
S0_no_curtailment,22.0,23.0,17,17,1.0
S0_no_curtailment,23.0,24.0,15,15,1.0
S0_no_curtailment,24.0,25.0,8,8,1.0
S0_no_curtailment,25.0,26.0,1,1,1.0
S0_no_curtailment,26.0,27.0,1,1,1.0
S0_no_curtailment,27.0,28.0,0,0,
S0_no_curtailment,28.0,29.0,0,0,
S0_no_curtailment,29.0,30.0,0,0,
S0_no_curtailment,30.0,31.0,0,0,
S0_no_curtailment,31.0,32.0,0,0,
S0_no_curtailment,32.0,33.0,0,0,
S0_no_curtailment,33.0,34.0,0,0,
S0_no_curtailment,34.0,35.0,0,0,
S0_no_curtailment,35.0,36.0,0,0,
S0_no_curtailment,36.0,37.0,0,0,
S0_no_curtailment,37.0,38.0,0,0,
S1_fixed_50pct,0.0,1.0,0,0,
S1_fixed_50pct,1.0,2.0,0,0,
S1_fixed_50pct,2.0,3.0,0,0,
S1_fixed_50pct,3.0,4.0,31,31,1.0
S1_fixed_50pct,4.0,5.0,1926,1926,1.0
S1_fixed_50pct,5.0,6.0,7672,7672,1.0
S1_fixed_50pct,6.0,7.0,11788,11788,1.0
S1_fixed_50pct,7.0,8.0,13050,13050,1.0
S1_fixed_50pct,8.0,9.0,11794,11765,0.9975411226047143
S1_fixed_50pct,9.0,10.0,9552,7569,0.7923994974874372
S1_fixed_50pct,10.0,11.0,7459,3154,0.42284488537337445
S1_fixed_50pct,11.0,12.0,5447,2354,0.4321644942170002
S1_fixed_50pct,12.0,13.0,3145,1277,0.40604133545310017
S1_fixed_50pct,13.0,14.0,1984,745,0.3755040322580645
S1_fixed_50pct,14.0,15.0,1186,427,0.3600337268128162
S1_fixed_50pct,15.0,16.0,576,210,0.3645833333333333
S1_fixed_50pct,16.0,17.0,273,116,0.4249084249084249
S1_fixed_50pct,17.0,18.0,83,42,0.5060240963855421
S1_fixed_50pct,18.0,19.0,27,16,0.5925925925925926
S1_fixed_50pct,19.0,20.0,14,9,0.6428571428571429
S1_fixed_50pct,20.0,21.0,21,10,0.47619047619047616
S1_fixed_50pct,21.0,22.0,25,5,0.2
S1_fixed_50pct,22.0,23.0,17,3,0.17647058823529413
S1_fixed_50pct,23.0,24.0,15,5,0.3333333333333333
S1_fixed_50pct,24.0,25.0,8,0,0.0
S1_fixed_50pct,25.0,26.0,1,0,0.0
S1_fixed_50pct,26.0,27.0,1,0,0.0
S1_fixed_50pct,27.0,28.0,0,0,
S1_fixed_50pct,28.0,29.0,0,0,
S1_fixed_50pct,29.0,30.0,0,0,
S1_fixed_50pct,30.0,31.0,0,0,
S1_fixed_50pct,31.0,32.0,0,0,
S1_fixed_50pct,32.0,33.0,0,0,
S1_fixed_50pct,33.0,34.0,0,0,
S1_fixed_50pct,34.0,35.0,0,0,
S1_fixed_50pct,35.0,36.0,0,0,
S1_fixed_50pct,36.0,37.0,0,0,
S1_fixed_50pct,37.0,38.0,0,0,
S2_fixed_70pct,0.0,1.0,0,0,
S2_fixed_70pct,1.0,2.0,0,0,
S2_fixed_70pct,2.0,3.0,0,0,
S2_fixed_70pct,3.0,4.0,31,31,1.0
